prof_id,cnes_id,name,cpf,cns,role,cbo_code,registration_number,registration_type,status
P001,2078015,Ana Paula Ferreira,11122233344,700000000000001,Médico,225125,CRM-SP 123456,CRM,ATIVO
P002,2078015,Carlos Eduardo Lima,22233344455,700000000000002,Enfermeiro,223505,COREN-SP 456789,COREN,ATIVO
P003,2078015,Fernanda Costa Silva,33344455566,700000000000003,Técnico de Enfermagem,322230,COREN-SP 789012,COREN,ATIVO
P004,2078015,Roberto Souza Neto,44455566677,700000000000004,Agente Comunitário de Saúde,515105,N/A,N/A,ATIVO
P005,3456789,Mariana Oliveira Barros,55566677788,700000000000005,Médico,225125,CRM-SP 234567,CRM,ATIVO
P006,3456789,João Paulo Mendes,66677788899,700000000000006,Enfermeiro,223505,COREN-SP 567890,COREN,ATIVO
P007,3456789,Claudia Martins Rocha,77788899900,700000000000007,Técnico de Enfermagem,322230,COREN-SP 890123,COREN,ATIVO
P008,3456789,Diego Alves Teixeira,88899900011,700000000000008,Fisioterapeuta,223605,CREFITO-3 12345,CREFITO,ATIVO
P009,4567891,Patrícia Santos Cruz,99900011122,700000000000009,Médico,225125,CRM-SP 345678,CRM,ATIVO
P010,4567891,Lucas Ferreira Gomes,10011122233,700000000000010,Médico,225168,CRM-SP 456789,CRM,ATIVO
P011,4567891,Beatriz Lima Araújo,11122233344,700000000000011,Enfermeiro,223505,COREN-SP 678901,COREN,ATIVO
P012,4567891,Thiago Costa Pinto,12233344455,700000000000012,Psicólogo,251510,CRP-06 67890,CRP,ATIVO
P013,5678902,Aline Rodrigues Melo,13344455566,700000000000013,Médico,225125,CRM-SP 567890,CRM,ATIVO
P014,5678902,Marcos Souza Lima,14455566677,700000000000014,Dentista,223208,CRO-SP 23456,CRO,ATIVO
P015,5678902,Juliana Pereira Dias,15566677788,700000000000015,Nutricionista,223710,CRN-3 34567,CRN,ATIVO
P016,6789013,Eduardo Castro Nunes,16677788899,700000000000016,Dentista,223208,CRO-SP 34567,CRO,ATIVO
P017,6789013,Vanessa Almeida Torres,17788899900,700000000000017,Dentista,223208,CRO-SP 45678,CRO,ATIVO
P018,6789013,Rafael Moura Silva,18899900011,700000000000018,Técnico de Enfermagem,322230,COREN-SP 901234,COREN,ATIVO
P019,7890124,Camila Rocha Freitas,19900011122,700000000000019,Psicólogo,251510,CRP-06 78901,CRP,ATIVO
P020,7890124,André Nascimento Costa,20011122233,700000000000020,Médico,225125,CRM-SP 678901,CRM,ATIVO
P021,7890124,Renata Faria Lopes,21122233344,700000000000021,Assistente Social,251605,CRESS-SP 12345,CRESS,ATIVO
P022,8901235,Daniela Ribeiro Santos,22233344455,700000000000022,Médico,225125,CRM-SP 789012,CRM,ATIVO
P023,8901235,Felipe Carvalho Leite,23344455566,700000000000023,Enfermeiro,223505,COREN-SP 012345,COREN,ATIVO
P024,8901235,Isabela Moreira Cunha,24455566677,700000000000024,Fisioterapeuta,223605,CREFITO-3 23456,CREFITO,ATIVO
P025,9012346,Rodrigo Tavares Braga,25566677788,700000000000025,Fisioterapeuta,223605,CREFITO-3 34567,CREFITO,ATIVO
P026,9012346,Larissa Nunes Vieira,26677788899,700000000000026,Terapeuta Ocupacional,223905,CREFITO-3 45678,CREFITO,ATIVO
P027,9012346,Bruno Andrade Melo,27788899900,700000000000027,Fonoaudiólogo,223810,CREFONO-SP 1234,CREFONO,ATIVO
P028,1023457,Carla Sousa Ferreira,28899900011,700000000000028,Farmacêutico,223405,CRF-SP 56789,CRF,ATIVO
P029,1023457,Gustavo Lima Peixoto,29900011122,700000000000029,Farmacêutico,223405,CRF-SP 67890,CRF,ATIVO
P030,1134568,Letícia Campos Ramos,30011122233,700000000000030,Médico,225125,CRM-SP 890123,CRM,ATIVO
P031,1134568,Wilson Gomes Cardoso,31122233344,700000000000031,Enfermeiro,223505,COREN-SP 123456,COREN,ATIVO
P032,1134568,Priscila Santos Hora,32233344455,700000000000032,Técnico de Enfermagem,322230,COREN-SP 234567,COREN,ATIVO
